@relation 'animationtype-weka.filters.unsupervised.attribute.Remove-R2,4-5,8,10'

@attribute 'mean transitions/s' numeric
@attribute 'mean gradient mag' numeric
@attribute 'immobile frames' numeric
@attribute 'hist peaks' numeric
@attribute 'texture hist peaks' numeric
@attribute 'mean hist diff' numeric
@attribute 'mean face count' numeric
@attribute 'animation type' {Animation,NotAnimation}

@data
0.299401,2.888062,94,2768,401,0.200602,0.40796,Animation
1.257484,7.436423,289,1226,201,0.392024,0,Animation
1.976046,1.733732,1,1598,239,0.526056,0.049751,Animation
0.167665,0.840276,472,1597,201,0.649469,0.024876,Animation
0.191617,2.38197,764,3278,221,0.292573,0.60199,Animation
0.455089,4.593285,532,2396,201,0.262881,0.766169,Animation
0.05988,2.38709,11,966,206,0.435596,0.631841,Animation
0.786884,14.016772,428,1467,300,0.198332,0.056818,Animation
0.04995,0.601951,0,1781,201,0.299556,0.014925,Animation
0.05988,0.540945,268,1321,201,0.326972,0.029851,Animation
0.899101,4.718607,262,0,201,0.966646,0.014925,Animation
0.568862,1.460786,216,1421,213,0.434957,0.308458,Animation
0.05988,2.445525,299,0,201,0.706933,0.427861,Animation
0.11976,1.341591,1,1001,201,0.174581,0,Animation
0.538922,6.461112,36,850,201,0.388192,0.039801,Animation
0.32967,3.041914,19,1007,201,0.55672,0.029851,Animation
2.909147,9.004607,594,862,216,0.563784,0.029851,Animation
1.976046,18.079342,186,2126,215,0.286531,0.004975,Animation
0,3.040713,534,511,201,0.817035,0.004975,Animation
0.299401,5.034002,246,951,205,0.439836,0.089552,Animation
0.209581,8.245942,255,2118,206,0.372578,0.134328,Animation
0.23976,3.561174,595,2837,257,0.343258,0.517413,Animation
0.11976,0.853018,711,1542,201,0.536162,0,Animation
1.167664,13.490237,322,550,201,0.708107,0.074627,Animation
1.646705,16.982557,477,1336,244,0.458181,0.044776,Animation
0.868263,13.592444,40,1001,201,0.445565,0,Animation
0.02994,0.379725,443,1766,201,0.90818,0,Animation
0.335329,5.606809,250,1111,201,0.383829,0.069652,Animation
1.556885,6.682469,182,1391,201,0.383909,0.059701,Animation
0.191617,4.078618,17,1577,201,0.433665,0.114428,Animation
0,3.743846,464,1092,201,0.580303,0.094527,Animation
1.736525,15.522259,118,2447,251,0.232421,0.19403,Animation
0.742514,2.551963,12,1192,201,0.4581,0.199005,Animation
1.347304,7.196093,205,1872,204,0.264509,0.502488,Animation
0.239521,4.815043,251,1026,201,0.53647,0.029851,Animation
0.407185,4.592996,0,1166,201,0.408516,0.358209,Animation
0.359281,3.13126,0,1206,201,0.360842,0.238806,Animation
0.646706,2.471341,44,1026,201,0.504788,0.079602,Animation
0.167665,5.399982,0,1036,201,0.378747,0.487562,Animation
0.479041,4.417261,165,1091,201,0.524933,0.074627,Animation
0.644184,5.396458,200,916,231,0.416344,0.0199,Animation
1.017963,10.199878,330,1671,201,0.262822,0.014925,Animation
0.335329,2.994659,12,1611,201,0.603921,0.492537,Animation
0,3.950275,200,5,201,0.40746,0.199005,Animation
0.628742,5.495373,172,1306,205,0.331568,0.114428,Animation
1.197604,14.945524,230,1781,209,0.248401,0.348259,Animation
0.05988,4.201928,138,1011,201,0.488624,0.363184,Animation
0.778442,9.652219,204,986,210,0.568843,0.18408,Animation
0.407185,3.164723,10,1562,201,0.600701,0.069652,Animation
0.628742,6.831316,132,1332,201,0.37676,0.169154,Animation
0.095808,1.890907,5,1001,201,0.579887,0.074627,Animation
1.586825,4.818987,177,1477,250,0.287225,0.169154,Animation
0.26973,2.323066,736,1046,201,0.594985,0.024876,Animation
1.437124,10.412537,136,1789,201,0.237291,0.004975,Animation
0.378589,2.628433,420,1963,201,0.805424,0.268657,Animation
0.928143,7.321679,296,1586,201,0.328124,0.00995,Animation
0.167665,6.696706,248,1921,201,0.464727,0.228856,Animation
0.748502,8.631154,417,686,201,0.544733,0.024876,Animation
1.708292,14.848751,449,3361,202,0.199682,0.338308,Animation
0.024975,0.443443,371,3951,211,0.132602,0.78607,Animation
0.431137,1.359669,220,875,265,0.585245,0.218905,Animation
0.299401,7.884039,263,435,201,0.391092,0.014925,Animation
0.1998,0.389144,471,751,251,0.504161,0.024876,Animation
0.224775,0.392915,15,65,204,0.624271,0.079602,Animation
0.688622,7.367617,197,1618,201,0.255649,0.004975,Animation
0.074925,0.876368,910,2232,218,0.148411,0.268657,Animation
0.023952,0.214655,712,1276,201,0.283844,0.199005,Animation
0.81437,3.452826,0,2297,201,0.183541,0.094527,Animation
0.455089,3.516112,3,2119,201,0.169738,0.338308,Animation
0.11976,0.990188,640,1426,201,0.279187,0.343284,Animation
0.0999,0.912215,251,1026,201,0.598179,0.253731,Animation
0.239521,0.721134,101,1742,257,0.184359,0.830846,Animation
0.1998,0.571419,45,1293,299,0.245296,0.004975,Animation
0.174825,0.429922,190,516,256,0.417497,0.00995,Animation
0.287425,0.882226,1,1611,248,0.282575,0.049751,Animation
0.742514,4.744177,180,1466,234,0.297622,0.074627,Animation
1.041649,18.136141,401,3215,187,0.165074,0.516129,Animation
0,0.575993,389,4290,201,0.128622,0.925373,NotAnimation
0.718562,2.370731,211,550,201,0.478747,0.452736,NotAnimation
0.023952,0.738267,2,2468,376,0.143102,0.945274,NotAnimation
0.57485,1.339511,42,1202,306,0.247318,0.81592,NotAnimation
0.191617,0.793427,39,1511,201,0.585774,0.014925,NotAnimation
2.694608,2.43392,21,2747,213,0.229886,0.517413,NotAnimation
1.227544,4.686602,226,1001,201,0.90263,0.004975,NotAnimation
0.508982,6.754342,156,1334,204,0.443476,0.199005,NotAnimation
0.419161,0.978307,253,1707,293,0.203685,0.507463,NotAnimation
0.526946,0.876,71,1006,202,0.410218,0.169154,NotAnimation
0.1497,1.441859,172,1001,210,0.485483,0,NotAnimation
0,0.402587,2,1623,201,0.17728,0.109453,NotAnimation
0.1497,0.604406,201,765,201,0.427912,0.58209,NotAnimation
0.167665,1.309388,0,3243,201,0.182348,0.512438,NotAnimation
0.524476,1.83204,0,1456,263,0.23674,0.621891,NotAnimation
0.04995,0.860268,0,1947,201,0.31954,1.144279,NotAnimation
0.299401,1.014438,15,2864,370,0.240979,0.373134,NotAnimation
0.419161,3.279666,21,2718,363,0.167113,0.587065,NotAnimation
0.748502,2.242303,314,1696,244,0.426204,0.532338,NotAnimation
0.635593,3.735956,219,2454,348,0.281395,0.544974,NotAnimation
0.071856,0.452932,190,660,201,0.397078,0.004975,NotAnimation
0.424575,4.662843,245,2867,249,0.299678,0.114428,NotAnimation
0.251058,4.189606,258,1815,277,0.338429,0.036649,NotAnimation
0.778442,4.949907,230,1121,398,0.205268,0.78607,NotAnimation
0.659341,1.119024,154,601,251,0.393295,0.736318,NotAnimation
0.389221,2.80404,39,430,266,0.374136,1.253731,NotAnimation
1.916166,4.651967,0,3358,240,0.186588,0.462687,NotAnimation
1.467064,3.720088,0,3093,244,0.161469,0.616915,NotAnimation
0.748502,2.629796,0,3609,328,0.125386,0.950249,NotAnimation
0.047904,0.334426,346,2032,305,0.251184,0.383085,NotAnimation
1.167664,2.486447,1,400,205,0.416915,0.39801,NotAnimation
1.706585,22.886348,328,999,201,0.217068,0.094527,NotAnimation
0.329341,0.778873,406,2502,279,0.210718,0.437811,NotAnimation
0.266994,3.896751,78,863,180,0.228536,0.366667,NotAnimation
0.239521,0.602102,124,2314,250,0.159512,0.60199,NotAnimation
0.179641,0.604809,227,1807,325,0.231337,0.313433,NotAnimation
0.431137,1.520236,8,1583,203,0.286308,0.41791,NotAnimation
0.622252,1.462608,10,2024,201,0.321217,0.378109,NotAnimation
0.239521,1.15907,19,1346,202,0.438518,0.0199,NotAnimation
0.430223,1.306442,3,1198,209,0.376853,0.393035,NotAnimation
0.329341,2.04504,6,1276,251,0.20108,0.293532,NotAnimation
